Connectivity
Probability,0.0015,0.00255,0.0038,0.0058,0.0065,0.008,0.0085,0.012,0.014,0.016,
Results:,0,0,0,0,0.1,1,1,1,1,1,

Condition:True,51
Condition:False,49
Total Probability:,0.51


-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,


Diameter
Probability,0.09,0.095,0.1,0.11,0.115,0.118,0.12,0.13,0.14,0.15,
Results:,0,0,0,0,0.8,1,0.3,1,1,1,

Condition:True,51
Condition:False,49
Total Probability:,0.51


-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,


Isolated Vertix
Probability,0.003,0.0035,0.004,0.0055,0.006,0.008,0.0085,0.013,0.018,0.02,
Results:,1,1,1,1,0.8,0.5,0.2,0,0,0,

Condition:True,55
Condition:False,45
Total Probability:,0.55


-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,-----------------,


